"title","message","url","published_at","valid_from","valid_to","location_label","category"
"Návrhy na obsadenie miesta riaditeľa Karloveského športového klubu","Mestsk&aacute; časť Bratislava &ndash; Karlova Ves, N&aacute;mestie sv. Franti&scaron;ka 8, 842 62 Bratislava sa t&yacute;mto obracia na verejnosť o zaslanie n&aacute;vrhu na obsadenie funkcie predsedu - riaditeľa Karlovesk&eacute;ho &scaron;portov&eacute;ho klubu, pr&iacute;spevkovej organiz&aacute;cie. Požiadavky na z&aacute;ujemcu : - kladn&yacute; vzťah k &scaron;portu, - manaž&eacute;rske, riadiace a organizačn&eacute; schopnosti, - odolnosť voči stresu, - schopnosť t&iacute;movej pr&aacute;ce. Z&aacute;ujemcovia za&scaron;l&uacute; svoj &scaron;trukt&uacute;rovan&yacute; životopis a motivačn&yacute; list na emailov&uacute; adresu: eva.poljakova@karlovaves.sk v term&iacute;ne najnesk&ocirc;r do 31. janu&aacute;ra 2012. Miestny &uacute;rad MČ BA &ndash; Karlova Ves, 14. 12. 2011","http://www.karlovaves.sk/aktualita/navrhy-na-obsadenie-miesta-riaditela-karloveskeho-sportoveho-klubu","14.12.2011","14. 12. 2011","31.01.2012","Karlova Ves","Správy"
"MESTSKÁ ČASŤ BRATISLAVA KARLOVA VES","MESTSK&Aacute; ČASŤ BRATISLAVA KARLOVA VES vyhlasuje verejn&eacute; obstar&aacute;vanie pre z&aacute;kazku s n&iacute;zkou hodnotou v zmysle &sect; 102 ods.1 z&aacute;kona č. 25/2006 Z.z. na v&yacute;ber dod&aacute;vateľa na realiz&aacute;ciu stavebn&yacute;ch pr&aacute;c pre stavbu &bdquo;SAN&Aacute;CIA OPORN&Eacute;HO M&Uacute;RU NA ULICI HLAV&Aacute;ČIKOVA 1 Identifik&aacute;cia obstar&aacute;vateľa Mestsk&aacute; časť Bratislava - Karlova Ves N&aacute;m. Sv. Franti&scaron;ka 8 842 62 Bratislava 2 Typ zmluvy Zmluva o dielo. 3 N&aacute;zov predmetu obstar&aacute;vania San&aacute;cia oporn&eacute;ho m&uacute;ru na ulici Hlav&aacute;čikova. 4 Opis predmetu obstar&aacute;vania San&aacute;cia oporn&eacute;ho m&uacute;ru na ulici Hlav&aacute;čikova v členen&iacute; na nasledovn&eacute; položky: 01. kotvenie a injektovanie bet&oacute;nov&eacute;ho oporn&eacute;ho m&uacute;ru v dĺžke cca 15 m, 02. oprava praskl&iacute;n bet&oacute;nov&eacute;ho oporn&eacute;ho m&uacute;ru, 03. &uacute;prava ter&eacute;nu po ukončen&iacute; pr&aacute;c do p&ocirc;vodn&eacute;ho stavu, 04. odvoz a likvid&aacute;cia vzniknut&eacute;ho odpadu, 05. statick&yacute; posudok, 06.projektov&aacute; dokument&aacute;cia pre povolenie stavby stavebn&yacute;m &uacute;radom a pre realiz&aacute;ciu stavby, 07.inžinierska činnosť s&uacute;visiaca s vybaven&iacute;m povolenia stavby stavebn&yacute;m &uacute;radom. Cenov&uacute; ponuku požadujeme &scaron;pecifikovať podľa uveden&yacute;ch položiek. 5 Miesto stavby Bratislava &ndash; Karlova Ves, lokalita Dlh&eacute; Diely, Hlav&aacute;čikova ulica. 6 Rozdelenie predmetu obstar&aacute;vania na časti Nie. 7 Možnosť predloženia variantn&eacute;ho rie&scaron;enia Nie. 8 Požadovanie z&aacute;bezpeky Nepožaduje sa. 9 Hlavn&eacute; podmienky financovania a platobn&eacute; podmienky Z rozpočtu Mestskej časti Bratislava - Karlova Ves. MČ Bratislava &ndash; Karlova Ves si vyhradzuje pr&aacute;vo, v pr&iacute;pade nechv&aacute;lenia finančn&yacute;ch prostriedkov na predmet obstar&aacute;vania, s&uacute;ťaž zru&scaron;iť. 10 Podmienky &uacute;časti uch&aacute;dzačov - splnenie a dodanie dokladov podľa &sect; 26 ods. 1, 2, 3 a 4 alebo &sect; 128 ods. 1 z&aacute;kona o verejnom obstar&aacute;van&iacute;, - splnenie a dodanie dokladov podľa &sect; 27 ods. 1 p&iacute;sm. a), b) a d) alebo &sect; 27 ods. 3 z&aacute;kona o verejnom obstar&aacute;van&iacute;, - splnenie a dodanie dokladov podľa &sect; 28 ods. 1 p&iacute;sm. b), g), l) a &sect; 28 ods. 2 z&aacute;kona o verejnom obstar&aacute;van&iacute;, - splnenie a dodanie dokladov podľa &sect; 29 a &sect; 30 z&aacute;kona o verejnom obstar&aacute;van&iacute;, - v&scaron;etky požadovan&eacute; doklady musia byť predložen&eacute; v origin&aacute;lnom vyhotoven&iacute; alebo v &uacute;radne overenej k&oacute;pii. 11 Podmienky poskytnutia s&uacute;ťažn&yacute;ch podkladov Sp&ocirc;sob: Podľa &sect; 17 z&aacute;kona. Čas: V pracovn&yacute;ch dňoch do 23.12.2011 do 13:00 hod. Str&aacute;nkov&eacute; dni: Po, St: 08:00 &ndash; 17:00, Pi: 08:00 &ndash; 13:30 Nestr&aacute;nkov&eacute; dni: dohodn&uacute;ť si term&iacute;n s kontaktnou osobou na osobn&yacute; odber materi&aacute;lov. (obedn&aacute; prest&aacute;vka: 12:00 &ndash; 13:00) Miesto: Mestsk&aacute; časť Bratislava - Karlova Ves N&aacute;m. Sv. Franti&scaron;ka 8 842 62 Bratislava Kontakt: Ing. Igor Koňakovsk&yacute; tel.: 02-60259224, E-mail: igor.konakovsky@karlovaves.sk Ing. Du&scaron;an Koreň tel.: 02-60259208, E-mail: dusan.koren@karlovaves.sk &Uacute;hrada: Nepožaduje sa. 12 Podmienky predkladania pon&uacute;k &ndash; p&iacute;somne v uzatvoren&yacute;ch ob&aacute;lkach s n&aacute;zvom &bdquo;Verejn&aacute; s&uacute;ťaž &ndash; San&aacute;cia oporn&eacute;ho m&uacute;ru&ldquo; Adresa: Miestny &uacute;rad mestskej časti Bratislava - Karlova Ves N&aacute;m. Sv. Franti&scaron;ka 8 842 62 Bratislava Jazyk: Slovensk&yacute;. Lehota: do 30.12.2011 do 12:00 hod. 13 Otv&aacute;ranie ob&aacute;lok s ponukami Čas: 3.1.2012 o 10:00 hod. Miesto: Miestny &uacute;rad mestskej časti Bratislava - Karlova Ves N&aacute;m. Sv. Franti&scaron;ka 8, 842 62 Bratislava 14 Krit&eacute;ri&aacute; na vyhodnotenie pon&uacute;k - splnenie podmienok &uacute;časti uch&aacute;dzačmi, - najniž&scaron;ia cena. 15 Uplynutie lehoty viazanosti pon&uacute;k 2 mesiace od vyhodnotenia pon&uacute;k. 16 Ďal&scaron;ie inform&aacute;cie Ohliadka lokality po dohode s kontaktnou osobou. Prílohy: VO-9.12.2011.rtf","http://www.karlovaves.sk/aktualita/mestska-cast-bratislava-karlova-ves","9.12.2011",,"23.12.2012","Karlova Ves","Správy"
"Nonstop dispečing zimnej údržby v Karlovej Vsi ","Mestsk&aacute; časť Bratislava &ndash; Karlova Ves oznamuje, že zimn&uacute; &uacute;držbu vozidlov&yacute;ch komunik&aacute;ci&iacute; III. a IV. triedy a pe&scaron;&iacute;ch komunik&aacute;ci&iacute; v spr&aacute;ve mestskej časti Bratislava &ndash; Karlova Ves zabezpečuje spoločnosť ESP Plus, s.r.o., tel. 02/65411902, mobil 0948/524111, e-mail dispecing@esp-ba.sk. Uveden&eacute; kontakty s&uacute; k dispoz&iacute;ci&iacute; občanom non stop. http://www.esp-ba.sk/o_nas.html","http://www.karlovaves.sk/aktualita/nonstop-dispecing-zimnej-udrzby-v-karlovej-vsi","5.12.2011",,,"Karlova Ves","Správy"
"Otvorenie bazéna na ZŠ. A. Dubčeka na Majerníkovej ulici pre verejnosť","V sobotu 15. okt&oacute;bra 2011 bol otvoren&yacute; baz&eacute;n na Z&Scaron; Alexandra Dubčeka na Majern&iacute;kovej ulici aj pre verejnosť. Doteraz bol baz&eacute;n využ&iacute;van&yacute; len &scaron;kolami a &scaron;portov&yacute;mi subjektmi. Baz&eacute;n bude otvoren&yacute; nasledovne : Otv&aacute;racie hodiny: Pondelok &ndash; piatok: 20.00 hod &ndash; 22.00 hod. Sobota &ndash; nedeľa: 12.30 hod &ndash; 20.00 hod. Cena vstupn&eacute;ho / pondelok - piatok: Jednorazov&yacute; hodinov&yacute; vstup 2,50 &euro; / dospel&iacute; 1, - &euro; / deti, seniori nad 62 rokov, ZŤP Cena vstupn&eacute;ho / sobota - nedeľa: Jednorazov&yacute; hodinov&yacute; vstup 2,50 &euro; / dospel&iacute;, deti, seniori nad 62 rokov, ZŤP V čase prev&aacute;dzky baz&eacute;na pre verejnosť je zabezpečen&yacute; dozor plavč&iacute;ka, uzamykateľn&eacute; skrinky, v pokladni sa pred&aacute;vaj&uacute; k&uacute;pacie čiapky ( cena 2 &euro;). Teplota vody: 27,5 &ordm;C Dĺžka baz&eacute;na: 25 m Zodpovedn&yacute; ved&uacute;ci prev&aacute;dzky baz&eacute;na - p. Polkor&aacute;b Ren&eacute;, tr&eacute;ner vodn&eacute;ho p&oacute;la S &uacute;ctou, Ing. Iveta Hanul&iacute;kov&aacute;, starostka poslanci miestneho zastupiteľstva Karlova Ves Fotogal&eacute;ria tu","http://www.karlovaves.sk/aktualita/otvorenie-bazena-na-zs-dubceka-na-majernikovej-ulici-pre-verejnost","10.11.2011",,,"Karlova Ves","Správy"
"OZNAM ","Upozorňujeme, že podľa ustanovenia &sect; 2d z&aacute;kona SNR č&iacute;slo 369/1990 Zb. o obecnom zriaden&iacute;, v znen&iacute; neskor&scaron;&iacute;ch predpisov, odo dňa vyhl&aacute;senia volieb nemožno až do ich vykonania rozhodn&uacute;ť o &uacute;zemnej zmene, vr&aacute;tane určiť n&aacute;zov ulice alebo in&eacute;ho verejn&eacute;ho priestranstva ani rozhodn&uacute;ť o zmene č&iacute;slovania stavieb. Predseda parlamentu Pavol Hru&scaron;ovsk&yacute; dňa 19.10.2011 vyhl&aacute;sil predčasn&eacute; voľby do N&aacute;rodnej rady SR na deň 10.3.2012. Až do ich vykonania mestsk&aacute; časť Bratislava-Karlova Ves nebude vyd&aacute;vať žiadne listiny t&yacute;kaj&uacute;ce sa vy&scaron;&scaron;ie uvedenej &uacute;zemnej zmeny. V&scaron;etky žiadosti, ktor&eacute; boli a bud&uacute; doručen&eacute; na miestny &uacute;rad v čase od 19.10.2011 do 10.3.2012, bud&uacute; vybavovan&eacute; po vykonan&iacute; predčasn&yacute;ch volieb, t.j. od 11.3.2012.","http://www.karlovaves.sk/aktualita/oznam","3.11.2011","19.10.2011","10.3.2012","Karlova Ves","Správy"
"VEREJNÁ VYHLÁŠKA o vykonávaní zimnej údržby miestnych pozemných komunikácií  v mestskej časti Bratislava-Karlova Ves v zimnom období 2011/2012"," Verejn&aacute; vyhl&aacute;&scaron;ka v pr&iacute;lohe Prílohy: Verejna_vyhlaska_1_.pdf Verejna_vyhlaska_2_.PDF","http://www.karlovaves.sk/aktualita/verejna-vyhlaska-o-vykonavani-zimnej-udrzby-miestnych-pozemnych-komunikacii-v-mestskej-cas","25.10.2011",,,"Karlova Ves","Správy"
"PETÍCIA proti výstavbe na Kráľovej hore ","Pet&iacute;ciu m&ocirc;žete podporiť svojim podpisom na Miestnom &uacute;rade (vstupn&yacute; vestibul oproti podateľni) a tu. P E T &Iacute; C I A Vlastn&iacute;k pozemkov na Kr&aacute;ľovej hore a developer op&auml;ť oživuje svoje snahy &ndash; z&iacute;skať povolenie pre v&yacute;stavbu na veľkej l&uacute;ke (pasienku) v lese nad Dlh&yacute;mi dielmi (parcely č. 2388, 2389, 2390, 2391, 2392, 2402. 2403, 2446, 2447 a časť 2373, k.&uacute;. Dev&iacute;n). Je to &uacute;zemie v Chr&aacute;nenej krajinnej oblasti Mal&eacute; Karpaty, ktor&eacute; v&scaron;etci pozn&aacute;me ako miesto na prech&aacute;dzky v pr&iacute;rode, &scaron;port a rekre&aacute;ciu. Pl&aacute;novanou v&yacute;stavbou by sa tento pr&iacute;rodn&yacute; skvost navždy znehodnotil a obyvatelia Karlovej Vsi a &scaron;irok&eacute;ho okolia by pri&scaron;li o jedinečn&eacute; miesto oddychu. My, dolupodp&iacute;san&iacute; občania Slovenskej republiky, žiadame od prim&aacute;tora hlavn&eacute;ho mesta SR Bratislavy, poslancov hlavn&eacute;ho mesta SR Bratislavy, od starostiek Karlovej Vsi a Dev&iacute;na a poslancov miestnych zastupiteľstiev Karlovej Vsi a Dev&iacute;na 1. zmenu &Uacute;zemn&eacute;ho pl&aacute;nu hlavn&eacute;ho mesta v lokalite Kr&aacute;ľova hora z funkcie občianska vybavenosť na p&ocirc;vodn&yacute; stav rekre&aacute;cia v pr&iacute;rodnom prostred&iacute;, 2. vyhl&aacute;siť stavebn&uacute; uz&aacute;veru v danom &uacute;zem&iacute;, 3. v&scaron;etk&yacute;mi prostriedkami &uacute;zemnej samospr&aacute;vy zabr&aacute;niť v&yacute;stavbe a zasadiť sa za zachovanie pr&iacute;rodn&eacute;ho prostredia na Kr&aacute;ľovej hore. Petičn&yacute; v&yacute;bor : MUDr. Dana Čahojov&aacute;, Hlav&aacute;čikova 24, 841 05 Bratislava, cahojovadana@gmail.com Ing. Vladim&iacute;r Dulla, Majern&iacute;kova 50, 841 05 Bratislava, dullav@gmail.com Ing. Tatiana Holubov&aacute;, Veternicov&aacute; 22, 841 05 Bratislava, okskola@okskola.sk Ing. Mgr. J&aacute;n Kesel&yacute; - osoba určen&aacute; pre styk s org&aacute;nom verejnej spr&aacute;vy, Kres&aacute;nkova 11, 841 05 Bratislava, jan.kesely@gmail.com RNDr. J&aacute;n Krajč&iacute;k, Veternicov&aacute; 33, 841 05 Bratislava, janokrajcik@gmail.com Mgr. L&iacute;via Pol&aacute;chov&aacute;, Veternicov&aacute; 31, 841 05 Bratislava, polach@hotmail.sk","http://www.karlovaves.sk/aktualita/peticia-proti-vystavbe-na-kralovej-hore","24.10.2011",,,"Karlova Ves","Správy"
"Poslanecké hodiny DECEMBER 2011","Harmonogram stretnut&iacute; DECEMBER 2011 Miesto konania : Miestny &uacute;rad , kancel&aacute;ria č. 166 na pr&iacute;zem&iacute; od 16.00 hod. 5.12. Mgr. Labuda Ing. Nagyov&aacute;-Džerengov&aacute; 19.12. Mgr. Sek&aacute;čov&aacute; Ing. Schultzov&aacute;","http://www.karlovaves.sk/aktualita/poslanecke-hodiny-december-2011","30.9.2011","1.12.2011","31.12.2011","Karlova Ves","Správy"
"Verejná súťaž “Dodávka elektrickej energie”"," Mestsk&aacute; časť Bratislava - Karlova Ves, N&aacute;mestie sv. Franti&scaron;ka 8, 842 62 Bratislava v y h l a s u j e verejn&uacute; s&uacute;ťaž v zmysle &sect; 24 ods. 1 p&iacute;sm. a) z&aacute;kona NR SR č. 25/2006 Z.z. ""Dod&aacute;vka elektrickej energie"" 1. Identifik&aacute;cia obstar&aacute;vateľa Mestsk&aacute; časť Bratislava - Karlova Ves N&aacute;mestie sv. Franti&scaron;ka 8 842 62 Bratislava 2. Typ zmluvy Zmluva o združenej dod&aacute;vke elektriny 3. N&aacute;zov predmetu obstar&aacute;vania Dod&aacute;vka elektrickej energie 4. Opis predmetu obstar&aacute;vania Predmetom z&aacute;kazky je dod&aacute;vka elektrickej energie formou združenej dod&aacute;vky,zabezpečenie distribučn&yacute;ch služieb a zodpovednosti za odch&yacute;lky v čase od 00:00 hod. SEČ dňa 01.01.2012 do 24:00 hod. SEČ dňa 31.12.2013 pre odbern&eacute; miesta - objekty v zriaďovateľskej p&ocirc;sobnosti mestskej časti. Podrobn&yacute; zoznam odbern&yacute;ch miest je uveden&yacute; v s&uacute;ťažn&yacute;ch podkladoch k tejto verejnej s&uacute;ťaži. 5. Miesto v&yacute;konu služby Mestsk&aacute; časť Bratislava - Karlova Ves 6. Rozdelenie predmetu obstar&aacute;vania na časti nie 7. Možnosť predloženia variantn&yacute;ch rie&scaron;en&iacute; nie 8. Trvanie zmluvy od 1.1.2012 do 31.12.2013 požadovanie z&aacute;bezpeky: &aacute;no 5 000 &euro;, č&iacute;slo &uacute;čtu 1804143001/5600 variabiln&yacute; symbol 223001132 9. Hlavn&eacute; podmienky financovania a platobn&eacute; podmienky z rozpočtu mestskej časti Bratislava - Karlova Ves 10. Podmienky &uacute;časti uch&aacute;dzačov Uch&aacute;dzač mus&iacute; spĺňať podmienky &uacute;časti uveden&eacute; v zmysle &sect; 26 ods. 1 z&aacute;kona o verejnom obstar&aacute;van&iacute;. Ich splnenie preuk&aacute;že podľa &sect; 26 ods. 2 až 4 citovan&eacute;ho z&aacute;kona. Predloženie dokladov podľa &sect; 26 ods. 2 sa nevyžaduje, ak sa postupuje podľa &sect; 128 ods. 1 z&aacute;kona. V&scaron;etky požadovan&eacute; doklady musia byť predložen&eacute; v origin&aacute;lnom vyhotoven&iacute;, alebo v &uacute;radne overenej k&oacute;pii. Uch&aacute;dzač mus&iacute; spĺňať podmienky &uacute;časti uveden&eacute; v zmysle &sect; 27 ods. 1 p&iacute;sm. c) z&aacute;kona o verejnom obstar&aacute;van&iacute; - (ekonomick&eacute; a finančn&eacute; postavenie). Uch&aacute;dzač mus&iacute; spĺňať podmienky &uacute;časti uveden&eacute; v zmysle &sect; 28 ods. 1 p&iacute;sm. a) d) podľa z&aacute;kona o energetike č.656/2004 Z.z. Predložiť doklad vydan&yacute; URSO SR s platnou licenciou minim&aacute;lne na dod&aacute;vku elektrickej energie &ndash; technick&aacute; alebo odborn&aacute; sp&ocirc;sobilosť. Podrobn&eacute; inform&aacute;cie s&uacute; uveden&eacute; v s&uacute;ťažn&yacute;ch podkladoch. 11. Podmienky poskytnutia s&uacute;ťažn&yacute;ch podkladov Sp&ocirc;sob : na z&aacute;klade p&iacute;somnej žiadosti uch&aacute;dzača Čas: v pracovn&yacute;ch dňoch od 20.9.2011 do 03.10.2011 od 8,00 hod. do 16,00 Miesto: Mestsk&aacute; časť Bratislava - Karlova Ves N&aacute;mestie sv. Franti&scaron;ka 8 842 62 Bratislava Kontakt: Katar&iacute;na Barbor&iacute;kov&aacute;, telef&oacute;n 02/60259164, e-mail katarina.barborikova@karlovaves.sk &Uacute;hrada: nepožaduje sa 12. Podmienky predkladania pon&uacute;k - p&iacute;somne v zalepenej ob&aacute;lke, označenej ELEKTRINA ""S&uacute;ťaž-neotv&aacute;rať"" Adresa: Mestsk&aacute; časť Bratislava &ndash; Karlova Ves N&aacute;mestie sv. Franti&scaron;ka 8 842 62 Bratislava Lehota: do 03.11.2011 do 14,30 hod. Jazyk: slovensk&yacute; 13. Otv&aacute;ranie ob&aacute;lok s ponukami Čas: 04.11.2011 o 10,00 hod. Miesto: Miestny &uacute;rad Mestskej časti Bratislava &ndash; Karlova Ves N&aacute;mestie sv. Franti&scaron;ka 8, 842 62 Bratislava 1. poschodie č&iacute;slo dver&iacute; 214 14. Krit&eacute;ri&aacute; na vyhodnotenie pon&uacute;k Najniž&scaron;ia cena &ndash; e aukcia 15. Uplynutie lehoty viazanosti pon&uacute;k do podpisu zmluvy s dod&aacute;vateľom elektriny 16. Ďal&scaron;ie inform&aacute;cie Marta Jurkovičov&aacute; telef&oacute;n +421 260259237, marta.jurkovicova@karlovaves.sk Prílohy: Verejna_sutaz_Dodavka_elektrickej_energie.rtf","http://www.karlovaves.sk/aktualita/verejna-sutaz-dodavka-elektrickej-energie","21.9.2011","20.9.2011","3.10.2011","Karlova Ves","Správy"
"Potravinová pomoc pre najodkázanejšie osoby ","Program distrib&uacute;cie potrav&iacute;n podporuje dod&aacute;vky potrav&iacute;n pre obzvl&aacute;&scaron;ť zraniteľn&eacute; osoby, ktor&eacute; sa ocitn&uacute; v ťažkej situ&aacute;cii. V Eur&oacute;pskej &uacute;nii sa tento program uplatňuje od roku 1987 a je financovan&yacute; z Eur&oacute;pskeho poľnohospod&aacute;rskeho a z&aacute;ručn&eacute;ho fondu. V roku 2011 sa k tomuto programu pripojila aj Slovensk&aacute; republika. Hlavn&yacute;m cieľom distrib&uacute;cie potrav&iacute;n je pom&ocirc;cť osob&aacute;m v n&uacute;dzi t&yacute;m, že im bud&uacute; prostredn&iacute;ctvom charitat&iacute;vnych organiz&aacute;ci&iacute; bezplatne dodan&eacute; z&aacute;kladn&eacute; potraviny - p&scaron;eničn&aacute; hladk&aacute; m&uacute;ka a bezvaječn&eacute; cestoviny. Miestny &uacute;rad Bratislava-Karlova Ves oznamuje občanom, ktor&iacute; spĺňaj&uacute; podmienky na pridelenie potravinovej pomoci, že sa m&ocirc;žu prihl&aacute;siť na refer&aacute;te soci&aacute;lneho oddelenia č. dv. 209. Info: t.č. 02/602 59 209 http://www.apa.sk/index.php?navID=407 V r&aacute;mci programu potravinovej pomoci pre najodk&aacute;zanej&scaron;ie osoby boli stanoven&eacute; nasledovn&eacute; kateg&oacute;rie pr&iacute;jemcov potravinovej pomoci: Poberatelia pomoci: deti v detsk&yacute;ch domovoch a profesion&aacute;lnych rodin&aacute;ch; deti v domovoch soci&aacute;lnych služieb pre zdravotne postihnut&eacute; deti; obyvatelia v domovoch d&ocirc;chodcov a &uacute;stavoch soci&aacute;lnej starostlivosti; deti v n&aacute;hradnej rodinnej starostlivosti; fyzick&eacute; osoby, ktor&eacute; s&uacute; poberateľmi d&aacute;vky v hmotnej n&uacute;dzi a pr&iacute;spevku k d&aacute;vke; osoby na hranici životn&eacute;ho minima (rodičia a deti, na ktor&eacute; s&uacute; vypl&aacute;can&eacute; dot&aacute;cie); poberatelia d&ocirc;chodku, ktor&yacute;ch v&yacute;&scaron;ka d&ocirc;chodku nepresahuje 305,00 EUR (nepracuj&uacute;ci poberatelia starobn&eacute;ho, predčasn&eacute;ho, invalidn&eacute;ho d&ocirc;chodku). Prílohy: informacny_letak_k_potravinovej_pomoci.pdf usmernenie_zo_dna_12_09_2011.pdf","http://www.karlovaves.sk/aktualita/potravinova-pomoc-pre-najodkazanejsie-osoby","21.9.2011",,,"Karlova Ves","Správy"
